name,military record.organization,military record.rank
"Ripley, William Y. W.",U.S. Army,Lieutenant Colonel
"Rivers, Ruben",U.S. Army,Sergeant
"Roach, Hampton M.",U.S. Army,Corporal
"Roan, Charles Howard",U.S. Marine Corps,Private First Class
"Roantree, James S.",U.S. Marine Corps,Sergeant
"Roark, Anund C.",U.S. Army,Sergeant
"Robbins, Augustus I.",U.S. Army,Second Lieutenant
"Robbins, Marcus M.",U.S. Army,Private
"Roberts, Charles D.",U.S. Army,Second Lieutenant
"Roberts, James",U.S. Navy,Seaman
"Roberts, Otis O.",U.S. Army,Sergeant
"Robertson, Robert S.",U.S. Army,First Lieutenant
"Robertson, Samuel",U.S. Army,Private
"Robie, George F.",U.S. Army,Sergeant
"Robinson, Alexander",U.S. Navy,Boatswain's Mate
"Robinson, Charles",U.S. Navy,Boatswain's Mate
"Robinson, Elbridge",U.S. Army,Private
"Robinson, James H.",U.S. Army,Private
"Robinson, James W.",U.S. Army,Sergeant
"Robinson, John C.",U.S. Army,Brigadier General
"Robinson, John H.",U.S. Army,Private
"Robinson, John",U.S. Navy,Captain of the Hold
"Robinson, Joseph",U.S. Army,First Sergeant
"Robinson, Robert Guy",U.S. Marine Corps,Gunnery Sergeant
"Robinson, Thomas",U.S. Army,Private
"Robinson, Thomas",U.S. Navy,Captain of the Afterguard
"Rocco, Louis R.",U.S. Army,Warrant Officer
"Roche, David",U.S. Army,First Sergeant
"Rock, Frederick",U.S. Army,Private
"Rockefeller, Charles M.",U.S. Army,Lieutenant
"Rodenbough, Theophilus F.",U.S. Army,Captain
"Rodenburg, Henry",U.S. Army,Private
"Rodriguez, Joseph C.",U.S. Army,Sergeant
"Rogan, Patrick",U.S. Army,Sergeant
"Rogers, Charles Calvin",U.S. Army,Lieutenant Colonel
"Rogers, Samuel F.",U.S. Navy,Quartermaster
"Rohm, Ferdinand F.",U.S. Army,Chief Bugler
"Romeyn, Henry",U.S. Army,First Lieutenant
"Rood, Oliver P.",U.S. Army,Private
"Rooks, Albert Harold",U.S. Navy,Captain
"Rooney, Edward",U.S. Army,Private
"Roosevelt, George W.",U.S. Army,First Sergeant
"Rose, George",U.S. Navy,Seaman
"Ross, Donald Kirby",U.S. Navy,Machinist
"Ross, Marion A.",U.S. Army,Sergeant Major
"Rossbach, Valentine",U.S. Army,Sergeant
"Roth, Peter",U.S. Army,Private
"Rought, Stephen",U.S. Army,Sergeant
"Rouh, Carlton Robert",U.S. Marine Corps,First Lieutenant
"Rounds, Lewis A.",U.S. Army,Private
"Rouning, Johannes",U.S. Navy,Ordinary Seaman
"Rountry, John",U.S. Navy,First Class Fireman
"Roush, J. Levi",U.S. Army,Corporal
"Rowalt, John F.",U.S. Army,Private
"Rowand, Archibald H.",U.S. Army,Private
"Rowdy, N/A",U.S. Army,Sergeant
"Rowe, Henry W.",U.S. Army,Private
"Roy, Stanislaus",U.S. Army,Sergeant
"Rubio, Euripides",U.S. Army,Captain
"Ruhl, Donald Jack",U.S. Marine Corps,Private First Class
"Rumania, Unknown",U.S. Army,Unknown
"Rundle, Charles W.",U.S. Army,Private
"Rush, John",U.S. Navy,First Class Fireman
"Russell, Charles L.",U.S. Army,Corporal
"Russell, Henry P.",U.S. Navy,Landsman
"Russell, James",U.S. Army,Private
"Russell, John",U.S. Navy,Seaman
"Russell, Milton",U.S. Army,Captain
"Rutherford, John T.",U.S. Army,First Lieutenant
"Rutter, James M.",U.S. Army,Sergeant
"Ryan, David",U.S. Army,Private
"Ryan, Dennis",U.S. Army,First Sergeant
"Ryan, Francis T.",U.S. Navy,Coxswain
"Ryan, Peter J.",U.S. Army,Private
"Ryan, Richard",U.S. Navy,Ordinary Seaman
"Sacriste, Louis J.",U.S. Army,First Lieutenant
"Sadler, William",U.S. Navy,Captain of the Top
"Sale, Albert",U.S. Army,Private
"Sancrainte, Charles F.",U.S. Army,Private
"Sanderson, Aaron",U.S. Navy,Landsman
"Sands, William",U.S. Army,First Sergeant
"Sanford, Jacob",U.S. Army,Private
"Santiago-Colon, Hector",U.S. Army,Specialist Fourth Class
"Sapp, Isacc",U.S. Navy,Seaman
"Sargent, Jackson",U.S. Army,Sergeant
"Sargent, Ruppert L.",U.S. Army,First Lieutenant
"Sartwell, Henry",U.S. Army,Sergeant
"Saunders, James",U.S. Navy,Quartermaster
"Savacool, Edwin F.",U.S. Army,Captain
"Savage, Auzella",U.S. Navy,Ordinary Seaman
"Saxton, Rufus",U.S. Army,Brigadier General
"Scanlan, Patrick",U.S. Army,Pilot
"Scannell, David John",U.S. Marine Corps,Private
"Scheibner, Martin E.",U.S. Army,Private
"Schenck, Benjamin W.",U.S. Army,Private
"Schiller, John",U.S. Army,Private
"Schilt, Christian Frank",U.S. Marine Corps,First Lieutenant
"Schlachter, Philipp",U.S. Army,Private
"Schmal, George W.",U.S. Army,Blacksmith
"Schmauch, Andrew",U.S. Army,Private
"Schmidt, Conrad",U.S. Army,First Sergeant
"Schmidt, William",U.S. Army,Principal Musician
"Schneider, George",U.S. Army,Sergeant
"Schnell, Christian",U.S. Army,Corporal
"Schnitzer, John",U.S. Army,Wagoner
"Schofield, John M.",U.S. Army,Major
"Schonland, Herbert Emery",U.S. Navy,Commander
"Schoonmaker, James M.",U.S. Army,Colonel
"Schorn, Charles",U.S. Army,Chief Bugler
"Schou, Julius",U.S. Army,Corporal
"Schroeter, Charles",U.S. Army,Private
"Schubert, Martin",U.S. Army,Private
"Schutt, George",U.S. Navy,Coxswain
"Schwan, Theodore",U.S. Army,First Lieutenant
"Schwenk, Martin",U.S. Army,Sergeant
"Scofield, David H.",U.S. Army,Quartermaster Sergeant
"Scott, Alexander",U.S. Army,Corporal
"Scott, George D.",U.S. Army,Private
"Scott, John M.",U.S. Army,Sergeant
"Scott, John Wallace",U.S. Army,Captain
"Scott, Joseph Francis",U.S. Marine Corps,Private
"Scott, Julian A.",U.S. Army,Drummer
"Scott, Norman",U.S. Navy,Rear Admiral
"Scott, Robert S.",U.S. Army,Private
"Scott, Robert R.",U.S. Navy,Machinist's Mate First Class
"Seach, William",U.S. Navy,Ordinary Seaman
"Seaman, Elisha B.",U.S. Army,Private
"Seanor, James",U.S. Navy,Master-at-Arms
"Sears, Cyrus",U.S. Army,First Lieutenant
"Seaver, Thomas O.",U.S. Army,Colonel
"Seay, William W.",U.S. Army,Sergeant
"Sebille, Louis J.",U.S. Air Force,Major
"Sellers, Alfred J.",U.S. Army,Major
"Seston, Charles H.",U.S. Army,Sergeant
"Seward, Griffin",U.S. Army,Wagoner
"Seward, Richard E.",U.S. Navy,Paymaster's Steward
"Sewell, William J.",U.S. Army,Colonel
"Shaffer, William",U.S. Army,Private
"Shafter, William R.",U.S. Army,First Lieutenant
"Shahan, Emisire",U.S. Army,Corporal
"Shaler, Alexander",U.S. Army,Colonel
"Shambaugh, Charles",U.S. Army,Corporal
"Shanahan, Patrick",U.S. Navy,Chief Boatswain's Mate
"Shanes, John",U.S. Army,Private
"Shapland, John",U.S. Army,Private
"Sharp, Hendrick",U.S. Navy,Seaman
"Sharpless, Edward C.",U.S. Army,Corporal
"Shaw, Thomas",U.S. Army,Sergeant
"Shea, Daniel John",U.S. Army,Private First Class
"Shea, Joseph H.",U.S. Army,Private
"Sheerin, John",U.S. Army,Blacksmith
"Shellenberger, John S.",U.S. Army,Corporal
"Shepard, Irwin",U.S. Army,Corporal
"Shepard, Louis C.",U.S. Navy,Ordinary Seaman
"Shepherd, Warren J.",U.S. Army,Corporal
"Shepherd, William",U.S. Army,Private
"Sheppard, Charles",U.S. Army,Private
"Sheridan, James",U.S. Navy,Quartermaster
"Sherman, Marshall",U.S. Army,Private
"Shiel, John",U.S. Army,Corporal
"Shields, Bernard",U.S. Army,Private
"Shields, Marvin G.",U.S. Navy,Construction Mechanic Third Class
"Shilling, John",U.S. Army,First Sergeant
"Shingle, John H.",U.S. Army,First Sergeant
"Shipley, Robert F.",U.S. Army,Sergeant
"Shipman, William",U.S. Navy,Coxswain
"Shivers, John",U.S. Marine Corps,Private
"Shoemaker, Levi",U.S. Army,Sergeant
"Shopp, George J.",U.S. Army,Private
"Shoup, David Monroe",U.S. Marine Corps,Colonel
"Shubert, Frank",U.S. Army,Sergeant
"Shuck, William E.",U.S. Marine Corps,Staff Sergeant
"Shughart, Randall D.",U.S. Army,Sergeant First Class
"Shutes, Henry",U.S. Navy,Captain of the Forecastle
"Sickles, Daniel E.",U.S. Army,Major General
"Sickles, William H.",U.S. Army,Sergeant
"Sidman, George Dallas",U.S. Army,Private
"Siegel, John Otto",U.S. Navy,Boatswain's Mate Second Class
"Sigler, Franklin Earl",U.S. Marine Corps,Private
"Sijan, Lance P.",U.S. Air Force,Captain
"Silva, France",U.S. Marine Corps,Private
"Simkins, Lebbeus",U.S. Navy,Coxswain
"Simmons, John",U.S. Army,Private
"Simmons, William T.",U.S. Army,Lieutenant
"Simonds, William Edgar",U.S. Army,Sergeant Major
"Simons, Charles J.",U.S. Army,Sergeant
"Simpson, Henry",U.S. Navy,First Class Fireman
"Sims, Clifford Chester",U.S. Army,Staff Sergeant
"Singleton, Walter K.",U.S. Marine Corps,Sergeant
"Sisler, George K.",U.S. Army,First Lieutenant
"Sitter, Carl L.",U.S. Marine Corps,Captain
"Skaggs, Luther,",U.S. Marine Corps,Private First Class
"Skellie, Ebenezer",U.S. Army,Corporal
"Skidgel, Donald Sidney",U.S. Army,Sergeant
"Skinner, John O.",U.S. Army,Contract Surgeon
"Skinner, Sherrod E.",U.S. Marine Corps,Second Lieutenant
"Sladen, Joseph A.",U.S. Army,Private
"Slagle, Oscar",U.S. Army,Private
"Slavens, Samuel",U.S. Army,Private
"Sloan, Andrew J.",U.S. Army,Private
"Slusher, Henry C.",U.S. Army,Private
"Smalley, Reuben",U.S. Army,Private
"Smalley, Reuben S.",U.S. Army,Private
"Smedley, Larry E.",U.S. Marine Corps,Corporal
"Smith, Alonzo",U.S. Army,Sergeant
"Smith, Andrew J.",U.S. Army,Sergeant
"Smith, Charles H.",U.S. Army,Colonel
"Smith, Charles H.",U.S. Navy,Coxswain
"Smith, Charles E.",U.S. Army,Corporal
"Smith, Cornelius C.",U.S. Army,Corporal
"Smith, Edwin",U.S. Navy,Ordinary Seaman
"Smith, Elmelindo R.",U.S. Army,Platoon Sergeant
"Smith, Francis M.",U.S. Army,First Lieutenant/Adjutant
"Smith, Frank Elmer",U.S. Navy,Oiler
"Smith, George W.",U.S. Army,Private
"Smith, Henry I.",U.S. Army,First Lieutenant
"Smith, James",U.S. Army,Private
"Smith, James",U.S. Navy,Captain of the Forecastle
"Smith, James",U.S. Navy,Seaman
"Smith, James",U.S. Navy,Landsman
"Smith, John",U.S. Navy,Captain of the Forecastle
"Smith, John",U.S. Navy,Second Captain of the Top
"Smith, John",U.S. Navy,Seaman
"Smith, John Lucian",U.S. Marine Corps,Major
"Smith, Joseph S.",U.S. Army,Lt. Colonel/Commissary of Subsistence
"Smith, Oloff",U.S. Navy,Coxswain
"Smith, Otis W.",U.S. Army,Private
"Smith, Otto",U.S. Army,Private
"Smith, Richard",U.S. Army,Private
"Smith, Robert",U.S. Army,Private
"Smith, S. Rodmond",U.S. Army,Captain
"Smith, Thaddeus S.",U.S. Army,Corporal
"Smith, Theodore F.",U.S. Army,Private
"Smith, Thomas",U.S. Navy,Seaman
"Smith, Thomas",U.S. Army,Private
"Smith, Thomas J.",U.S. Army,Private
"Smith, Thomas",U.S. Navy,Seaman
"Smith, Walter B.",U.S. Navy,Ordinary Seaman
"Smith, Willard M.",U.S. Marine Corps,Corporal
"Smith, William",U.S. Navy,Quartermaster
"Smith, William",U.S. Army,Private
"Smith, William H.",U.S. Army,Private
"Smith, Wilson",U.S. Army,Corporal
"Snedden, James",U.S. Army,Musician
"Snow, Elmer A.",U.S. Army,Trumpeter
"Sorenson, Richard Keith",U.S. Marine Corps,Private
"Southard, David",U.S. Army,Sergeant
"Sova, Joseph E.",U.S. Army,Saddler
"Sowers, Michael",U.S. Army,Private
"Spalding, Edward B.",U.S. Army,Sergeant
"Spence, Orizoba",U.S. Army,Private
"Sperry, William J.",U.S. Army,Major
"Spicer, William",U.S. Navy,Gunner's Mate First Class
"Spillane, Timothy",U.S. Army,Private
"Sprague, Benona",U.S. Army,Corporal
"Sprague, John W.",U.S. Army,Colonel
"Springer, George",U.S. Army,Private
"Sprowle, David",U.S. Marine Corps,Orderly Sergeant
"Spurling, Andrew B.",U.S. Army,Lieutenant Colonel
"Stacey, Charles",U.S. Army,Private
"Stacy, William B.",U.S. Navy,Seaman
"Stahel, Julius",U.S. Army,Major General
"Stance, Emanuel",U.S. Army,Sergeant
"Stanley, David S.",U.S. Army,Major General
"Stanley, Eben",U.S. Army,Private
"Stanley, Edward",U.S. Army,Corporal
"Stanley, Robert Henry",U.S. Navy,Hospital Apprentice
"Stanley, William A.",U.S. Navy,Shell Man
"Starkins, John H.",U.S. Army,Sergeant
"Staton, Adolphus",U.S. Navy,Lieutenant
"Stauffer, Rudolph",U.S. Army,First Sergeant
"Steele, John W.",U.S. Army,Major/aide-de-camp
"Stein, Tony",U.S. Marine Corps,Corporal
"Steindam, Russell A.",U.S. Army,First Lieutenant
"Steiner, Christian",U.S. Army,Saddler
"Steinmetz, William",U.S. Army,Private
"Stephens, William G.",U.S. Army,Private
"Sterling, James E.",U.S. Navy,Coal Heaver
"Sterling, John T.",U.S. Army,Private
"Stevens, Daniel D.",U.S. Navy,Quartermaster
"Stevens, Hazard",U.S. Army,Captain/Ass. Adjutant General
"Stewart, Benjamin F.",U.S. Army,Private
"Stewart, George W.",U.S. Army,First Sergeant
"Stewart, George E.",U.S. Army,Second Lieutenant
"Stewart, James A.",U.S. Marine Corps,Corporal
"Stewart, Jimmy G.",U.S. Army,Staff Sergeant
"Stewart, Joseph",U.S. Army,Private
"Stewart, Peter",U.S. Marine Corps,Gunnery Sergeant
"Stickels, Joseph",U.S. Army,Sergeant
"Stickoffer, Julius H.",U.S. Army,Saddler
"Stivers, Thomas W.",U.S. Army,Private
"Stockdale, James B.",U.S. Navy,Rear Admiral
"Stockham, Fred W.",U.S. Marine Corps,Gunnery Sergeant
"Stockman, George H.",U.S. Army,First Lieutenant
"Stoddard, James",U.S. Navy,Seaman
"Stokes, Alonzo",U.S. Army,First Sergeant
"Stokes, George",U.S. Army,Private
"Stokes, John",U.S. Navy,Chief Master-at-Arms
"Stoltenberg, Andrew V.",U.S. Navy,Gunner's Mate Second Class
"Stolz, Frank",U.S. Army,Private
"Stone, Lester R.",U.S. Army,Sergeant
"Storey, John H. R.",U.S. Army,Sergeant
"Stout, Mitchell W.",U.S. Army,Sergeant
"Stout, Richard",U.S. Navy,Landsman
"Stowers, Freddie",U.S. Army,Corporal
"Strahan, Robert",U.S. Navy,Captain of the Top
"Strausbaugh, Bernard A.",U.S. Army,First Sergeant
"Strayer, William H.",U.S. Army,Private
"Street, George Levick",U.S. Navy,Commander
"Streile, Christian",U.S. Army,Private
"Strivson, Benoni",U.S. Army,Private
"Strong, James N.",U.S. Army,Sergeant
"Stryker, Robert F.",U.S. Army,Specialist Fourth Class
"Sturgeon, James K.",U.S. Army,Private
"Sudut, Jerome A.",U.S. Army,Second Lieutenant
"Sullivan, Daniel Augustus Joseph",U.S. Navy,Ensign
"Sullivan, Edward",U.S. Marine Corps,Private
"Sullivan, James",U.S. Navy,Ordinary Seaman
"Sullivan, James F.",U.S. Navy,Boatswain's Mate
"Sullivan, John",U.S. Navy,Seaman
"Sullivan, Thomas",U.S. Army,Private
"Sullivan, Thomas",U.S. Army,Private
"Sullivan, Timothy",U.S. Navy,Coxswain
"Summers, James C.",U.S. Army,Private
"Summers, Robert",U.S. Navy,Chief Quartermaster
"Sumner, James",U.S. Army,Private
"Sundquist, Axel",U.S. Navy,Chief Carpenter's Mate
"Sundquist, Gustav A.",U.S. Navy,Ordinary Seaman
"Surles, William H.",U.S. Army,Private
"Sutherland, John A.",U.S. Army,Corporal
"Sutton, Clarence Edwin",U.S. Marine Corps,Sergeant
"Swan, Charles A.",U.S. Army,Private
"Swanson, John",U.S. Navy,Seaman
"Swap, Jacob E.",U.S. Army,Private
"Swatton, Edward",U.S. Navy,Seaman
"Swayne, Wager",U.S. Army,Lieutenant Colonel
"Swearer, Benjamin",U.S. Navy,Seaman
"Sweatt, Joseph S. G.",U.S. Army,Private
"Sweeney, James",U.S. Army,Private
"Sweeney, Robert",U.S. Navy,Ordinary Seaman
"Sweeney, William",U.S. Navy,Landsman
"Swegheimer, Jacob",U.S. Army,Private
"Swett, James Elms",U.S. Marine Corps,First Lieutenant
"Swift, Frederic W.",U.S. Army,Lieutenant Colonel
"Swift, Harlan J.",U.S. Army,Second Lieutenant
"Tabor, William L. S.",U.S. Army,Private
"Taggart, Charles A.",U.S. Army,Private
"Talbot, Ralph",U.S. Marine Corps,Second Lieutenant
"Talbott, William",U.S. Navy,Captain of the Forecastle
"Tallentine, James",U.S. Navy,Quarter Gunner
"Tanner, Charles B.",U.S. Army,Second Lieutenant
"Tanouye, Ted T.",U.S. Army,Technical Sergeant
"Taylor, Anthony",U.S. Army,First Lieutenant
"Taylor, Bernard",U.S. Army,Sergeant
"Taylor, Charles",U.S. Army,First Sergeant
"Taylor, Forrester L.",U.S. Army,Captain
"Taylor, George",U.S. Navy,Armorer
"Taylor, Henry H.",U.S. Army,Sergeant
"Taylor, John",U.S. Navy,Seaman
"Taylor, Joseph",U.S. Army,Private
"Taylor, Karl G.",U.S. Marine Corps,Staff Sergeant
"Taylor, Richard",U.S. Army,Private
"Taylor, Thomas",U.S. Navy,Coxswain
"Taylor, Wilbur N.",U.S. Army,Corporal
"Taylor, William",U.S. Army,Second Lieutenant
"Taylor, William G.",U.S. Army,Captain of the Forecastle
"Tea, Richard L.",U.S. Army,Sergeant
"Terry, John D.",U.S. Army,Sergeant
"Thackrah, Benjamin",U.S. Army,Private
"Thatcher, Charles M.",U.S. Army,Private
"Thaxter, Sidney W.",U.S. Army,Major
"Thayer, James",U.S. Navy,Ship's Corporal
"Thielberg, Henry",U.S. Navy,Seaman
"Thomas, Charles L.",U.S. Army,Sergeant
"Thomas, Charles L.",U.S. Army,Lieutenant
"Thomas, Hampton S.",U.S. Army,Major
"Thomas, Herbert Joseph",U.S. Marine Corps,Sergeant
"Thomas, Karl",U.S. Navy,Coxswain
"Thomas, Stephen",U.S. Army,Colonel
"Thomason, Clyde",U.S. Marine Corps,Sergeant
"Thompkins, George W.",U.S. Army,Corporal
"Thompkins, William H.",U.S. Army,Private
"Thompson, Allen",U.S. Army,Private
"Thompson, Charles A.",U.S. Army,Sergeant
"Thompson, Freeman C.",U.S. Army,Corporal
"Thompson, George W.",U.S. Army,Private
"Thompson, Henry A.",U.S. Marine Corps,Private
"Thompson, Henry",U.S. Navy,Seaman
"Thompson, James",U.S. Army,Private
"Thompson, James B.",U.S. Army,Sergeant
"Thompson, James Harry",U.S. Army,Surgeon
"Thompson, John",U.S. Army,Corporal
"Thompson, John",U.S. Army,Sergeant
"Thompson, Peter",U.S. Army,Private
"Thompson, Thomas",U.S. Army,Sergeant
"Thompson, William",U.S. Navy,Signal Quartermaster
"Thompson, William P.",U.S. Army,Sergeant
"Thomson, Clifford",U.S. Army,First Lieutenant
"Thordsen, William George",U.S. Navy,Coxswain
"Thorn, Walter",U.S. Army,Second Lieutenant
"Thornton, Michael Edwin",U.S. Navy,Petty Officer
"Tibbets, Andrew W.",U.S. Army,Private
"Tilton, Henry R.",U.S. Army,Major/Surgeon
"Tilton, William",U.S. Army,Sergeant
"Timmerman, Grant Frederick",U.S. Marine Corps,Sergeant
"Tinkham, Eugene M.",U.S. Army,Corporal
"Titus, Charles",U.S. Army,Sergeant
"Toban, James W.",U.S. Army,Sergeant
"Tobie, Edward P.",U.S. Army,Sergeant Major
"Tobin, John M.",U.S. Army,First Lieutenant/Adjutant
"Tobin, Paul",U.S. Navy,Landsman
"Todd, Samuel",U.S. Navy,Quartermaster
"Toffey, John J.",U.S. Army,First Lieutenant
"Tolan, Frank",U.S. Army,Private
"Tomich, Peter",U.S. Navy,Chief Watertender
"Tomlin, Andrew J.",U.S. Marine Corps,Corporal
"Tompkins, Aaron B.",U.S. Army,Sergeant
"Tompkins, Charles H.",U.S. Army,First Lieutenant
"Toohey, Thomas",U.S. Army,Sergeant
"Toomer, William",U.S. Army,Sergeant
"Torgerson, Martin T.",U.S. Navy,Gunner's Mate Third Class
"Torgler, Ernst",U.S. Army,Sergeant
"Toy, Frederick E.",U.S. Army,First Sergeant
"Tozier, Andrew J.",U.S. Army,Sergeant
"Tracy, Amasa A.",U.S. Army,Lieutenant Colonel
"Tracy, Benjamin F.",U.S. Army,Colonel
"Tracy, Charles H.",U.S. Army,Sergeant
"Tracy, John",U.S. Army,Private
"Tracy, William G.",U.S. Army,Second Lieutenant
"Trautman, Jacob",U.S. Army,First Sergeant
"Traynor, Andrew",U.S. Army,Corporal
"Treat, Howell B.",U.S. Army,Sergeant
"Tremain, Henry E.",U.S. Army,Major/aide-de-camp
"Tribe, John",U.S. Army,Private
"Triplett, Samuel",U.S. Navy,Ordinary Seaman
"Tripp, Othniel",U.S. Navy,Chief Boatswain's Mate
"Trogden, Howell G.",U.S. Army,Private
"Trout, James M.",U.S. Navy,Second Class Fireman
"Troy, Jeremiah",U.S. Navy,Chief Boatswain's Mate
"Troy, William",U.S. Navy,Ordinary Seaman
"Truell, Edwin M.",U.S. Army,Private
"Truesdale, Donald Leroy",U.S. Marine Corps,Corporal
"Truett, Alexander H.",U.S. Navy,Coxswain
"Tucker, Allen",U.S. Army,Sergeant
"Tucker, Jacob R.",U.S. Army,Corporal
"Turpin, James H.",U.S. Army,First Sergeant
"Turvelin, Alexander Haure",U.S. Navy,Seaman
"Tweedale, John",U.S. Army,Private
"Twombly, Voltaire P.",U.S. Army,Corporal
"Tyrrell, George William",U.S. Army,Corporal
"Uhrl, George",U.S. Army,Sergeant
"Upham, Oscar J.",U.S. Marine Corps,Private
"Upshur, William Peterkin",U.S. Marine Corps,Captain
"Urban, Matt",U.S. Army,Lieutenant Colonel
"Urell, M. Emmet",U.S. Army,Private
"Vadas, Albert",U.S. Navy,Seaman
"Vale, John",U.S. Army,Private
"Van Etten, Hudson",U.S. Navy,Seaman
"Van Matre, Joseph",U.S. Army,Private
"Van Schaick, Louis J.",U.S. Army,First Lieutenant
"Van Valkenburgh, Franklin",U.S. Navy,Captain
"Van Voorhis, Bruce Avery",U.S. Navy,Lieutenant Commander
"Van Winkle, Archie",U.S. Marine Corps,Staff Sergeant
"Van Winkle, Edward",U.S. Army,Corporal
"Vance, Wilson",U.S. Army,Private
"Vandegrift, Alexander Archer",U.S. Marine Corps,Major General
"Vanderslice, John M.",U.S. Army,Private
"Vantine, Joseph E.",U.S. Navy,First Class Fireman
"Varnum, Charles A.",U.S. Army,Captain
"Vaughn, Pinkerton R.",U.S. Marine Corps,Sergeant
"Veal, Charles",U.S. Army,Private
"Veale, Moses",U.S. Army,Captain
"Veazey, Wheelock G.",U.S. Army,Colonel
"Vernay, James D.",U.S. Army,Second Lieutenant
"Verney, James W.",U.S. Navy,Chief Quartermaster
"Veuve, Ernest",U.S. Army,Farrier
"Vietnam, Unknown",U.S. Army,Unknown
"Vifquain, Victor",U.S. Army,Lieutenant Colonel
"Vittori, Joseph",U.S. Marine Corps,Corporal
"Voit, Otto",U.S. Army,Saddler
"Vokes, Leroy H.",U.S. Army,First Sergeant
"Volz, Robert",U.S. Navy,Seaman
"Von Medem, Rudolph",U.S. Army,Sergeant
"Von Schlick, Robert H.",U.S. Army,Private
"Von Vegesack, Ernest",U.S. Army,Major/aide-de-camp
"Wageman, John H.",U.S. Army,Private
"Wagg, Maurice",U.S. Navy,Coxswain
"Wagner, John W.",U.S. Army,Corporal
"Wahlen, George Edward",U.S. Navy,Pharmacist's Mate Second Class
"Wai, Francis B.",U.S. Army,Captain
"Wainwright, John",U.S. Army,First Lieutenant
"Walker, Allen",U.S. Army,Private
"Walker, Edward Alexander",U.S. Marine Corps,Sergeant
"Walker, James C.",U.S. Army,Private
"Walker, John",U.S. Army,Private
"Walker, Dr. Mary E.",U.S. Army,Contract Acting Assistant Surgeon (civilian)
"Wall, Jerry",U.S. Army,Private
"Wallace, George W.",U.S. Army,Second Lieutenant
"Wallace, William",U.S. Army,Sergeant
"Waller, Francis A.",U.S. Army,Corporal
"Walley, Augustus",U.S. Army,Private
"Walling, William H.",U.S. Army,Captain
"Walmsley, John S.",U.S. Air Force,Captain
"Walsh, John",U.S. Army,Corporal
"Walsh, Kenneth Ambrose",U.S. Marine Corps,First Lieutenant
"Walsh, William Gary",U.S. Marine Corps,Gunnery Sergeant
"Wambsgan, Martin",U.S. Army,Private
"Wanton, George H.",U.S. Army,Private
"Ward, Charles H.",U.S. Army,Private
"Ward, James",U.S. Navy,Quarter Gunner
"Ward, James",U.S. Army,Sergeant
"Ward, James Richard",U.S. Navy,Seaman First Class
"Ward, John",U.S. Army,Sergeant
"Ward, Nelson W.",U.S. Army,Private
"Ward, Thomas J.",U.S. Army,Private
"Ward, William H.",U.S. Army,Captain
"Warden, John",U.S. Army,Corporal
"Warfel, Henry C.",U.S. Army,Private
"Warren, David",U.S. Navy,Coxswain
"Warren, Francis E.",U.S. Army,Corporal
"Warren, John E.",U.S. Army,First Lieutenant
"Warrington, Lewis",U.S. Army,First Lieutenant
"Watkins, Lewis G.",U.S. Marine Corps,Staff Sergeant
"Watson, George",U.S. Navy,Private
"Watson, James C.",U.S. Army,Corporal
"Watson, Joseph",U.S. Army,Private
"Watson, Wilson Douglas",U.S. Marine Corps,Private
"Watters, Charles Joseph",U.S. Army,Chaplain
"Wayrynen, Dale Eugene",U.S. Army,Specialist Fourth Class
"Weaher, Andrew J.",U.S. Army,Private
"Webb, Alexander S.",U.S. Army,Brigadier General
"Webb, James",U.S. Army,Private
"Webber, Alason P.",U.S. Army,Musician
"Weber, Lester W.",U.S. Marine Corps,Lance Corporal
"Webster, Henry S.",U.S. Navy,Landsman
"Weeks, Charles H.",U.S. Navy,Captain of the Foretop
"Weeks, John H.",U.S. Army,Private
"Weinert, Paul H.",U.S. Army,Corporal
"Weir, Henry C.",U.S. Army,Captain/Ass. Adjutant General
"Weisbogel, Albert",U.S. Navy,Captain of the Mizzen Top
"Weiss, Enoch R.",U.S. Army,Private
"Weissel, Adam",U.S. Navy,Ship's Cook
"Welborn, Ira C.",U.S. Army,Second Lieutenant
"Welch, Charles H.",U.S. Army,Sergeant
"Welch, Michael",U.S. Army,Sergeant
"Welch, Richard",U.S. Army,Corporal
"Welch, Stephen",U.S. Army,Sergeant
"Wells, Henry S.",U.S. Army,Private
"Wells, Thomas M.",U.S. Army,Chief Bugler
"Wells, William",U.S. Army,Major
"Wells, William",U.S. Navy,Quartermaster
"Welsh, Edward",U.S. Army,Private
"Wende, Bruno",U.S. Army,Private
"West, Frank",U.S. Army,First Lieutenant
"West, Walter Scott",U.S. Marine Corps,Private
"Westerhold, William",U.S. Army,Sergeant
"Westermark, Axel",U.S. Navy,Seaman
"Weston, John F.",U.S. Army,Major
"Wheat, Roy M.",U.S. Marine Corps,Lance Corporal
"Wheaton, Loyd",U.S. Army,Lieutenant Colonel
"Wheeler, Daniel D.",U.S. Army,First Lieutenant
"Wheeler, Henry W.",U.S. Army,Private
"Wherry, William M.",U.S. Army,First Lieutenant
"Whitaker, Edward W.",U.S. Army,Captain
"White, Adam",U.S. Army,Corporal
"White, J. Henry",U.S. Army,Private
"White, Joseph",U.S. Navy,Captain of the Gun
"White, Patrick H.",U.S. Army,Captain
"Whitehead, John M.",U.S. Army,Chaplain
"Whitehead, Patton G.",U.S. Army,Private
"Whitfield, Daniel",U.S. Navy,Quartermaster
"Whitman, Frank M.",U.S. Army,Private
